State,FIPS,Name
CA,001,Alameda County
CA,003,Alpine County
CA,005,Amador County
CA,007,Butte County
CA,009,Calaveras County
CA,011,Colusa County
CA,013,Contra Costa County
CA,015,Del Norte County
CA,017,El Dorado County
CA,019,Fresno County
CA,021,Glenn County
CA,023,Humboldt County
CA,025,Imperial County
CA,027,Inyo County
CA,029,Kern County
CA,031,Kings County
CA,033,Lake County
CA,035,Lassen County
CA,037,Los Angeles County
CA,039,Madera County
CA,041,Marin County
CA,043,Mariposa County
CA,045,Mendocino County
CA,047,Merced County
CA,049,Modoc County
CA,051,Mono County
CA,053,Monterey County
CA,055,Napa County
CA,057,Nevada County
CA,059,Orange County
CA,061,Placer County
CA,063,Plumas County
CA,065,Riverside County
CA,067,Sacramento County
CA,069,San Benito County
CA,071,San Bernardino County
CA,073,San Diego County
CA,075,San Francisco County
CA,077,San Joaquin County
CA,079,San Luis Obispo County
CA,081,San Mateo County
CA,083,Santa Barbara County
CA,085,Santa Clara County
CA,087,Santa Cruz County
CA,089,Shasta County
CA,091,Sierra County
CA,093,Siskiyou County
CA,095,Solano County
CA,097,Sonoma County
CA,099,Stanislaus County
CA,101,Sutter County
CA,103,Tehama County
CA,105,Trinity County
CA,107,Tulare County
CA,109,Tuolumne County
CA,111,Ventura County
CA,113,Yolo County
CA,115,Yuba County
