,Median Value
0,876500.0
1,0.0
2,304100.0
3,279800.0
4,291700.0
5,217500.0
6,624700.0
7,0.0
8,473300.0
9,243000.0
10,213700.0
11,293900.0
12,208800.0
13,342900.0
14,210900.0
15,209600.0
16,245100.0
17,0.0
18,609600.0
19,246000.0
20,1153200.0
21,242700.0
22,368600.0
23,256700.0
24,0.0
25,0.0
26,548500.0
27,665000.0
28,451200.0
29,721200.0
30,480900.0
31,260900.0
32,376500.0
33,362300.0
34,521100.0
35,342400.0
36,589200.0
37,1374800.0
38,357600.0
39,603900.0
40,1391400.0
41,594400.0
42,1298300.0
43,839300.0
44,254300.0
45,0.0
46,181200.0
47,432200.0
48,642400.0
49,301700.0
50,282400.0
51,0.0
52,222000.0
53,205700.0
54,0.0
55,593200.0
56,420300.0
57,255500.0
