DATE,Hires Total Private
12/1/2000,5149
1/1/2001,5419
2/1/2001,5144
3/1/2001,5292
4/1/2001,5009
5/1/2001,5039
6/1/2001,4701
7/1/2001,4818
8/1/2001,4693
9/1/2001,4658
10/1/2001,4685
11/1/2001,4567
12/1/2001,4435
1/1/2002,4539
2/1/2002,4587
3/1/2002,4329
4/1/2002,4612
5/1/2002,4611
6/1/2002,4508
7/1/2002,4684
8/1/2002,4513
9/1/2002,4558
10/1/2002,4476
11/1/2002,4560
12/1/2002,4617
1/1/2003,4645
2/1/2003,4429
3/1/2003,4147
4/1/2003,4397
5/1/2003,4340
6/1/2003,4455
7/1/2003,4390
8/1/2003,4411
9/1/2003,4609
10/1/2003,4571
11/1/2003,4444
12/1/2003,4692
1/1/2004,4552
2/1/2004,4393
3/1/2004,4886
4/1/2004,4810
5/1/2004,4662
6/1/2004,4658
7/1/2004,4577
8/1/2004,4801
9/1/2004,4673
10/1/2004,4770
11/1/2004,4834
12/1/2004,4925
1/1/2005,4876
2/1/2005,4960
3/1/2005,4910
4/1/2005,4959
5/1/2005,4988
6/1/2005,5036
7/1/2005,4922
8/1/2005,5103
9/1/2005,5110
10/1/2005,4676
11/1/2005,4967
12/1/2005,4780
1/1/2006,4884
2/1/2006,4988
3/1/2006,5005
4/1/2006,4772
5/1/2006,5126
6/1/2006,4926
7/1/2006,5006
8/1/2006,4839
9/1/2006,4800
10/1/2006,4869
11/1/2006,5184
12/1/2006,4902
1/1/2007,4883
2/1/2007,4832
3/1/2007,5012
4/1/2007,4776
5/1/2007,4893
6/1/2007,4814
7/1/2007,4725
8/1/2007,4719
9/1/2007,4755
10/1/2007,4908
11/1/2007,4830
12/1/2007,4615
1/1/2008,4554
2/1/2008,4620
3/1/2008,4439
4/1/2008,4568
5/1/2008,4297
6/1/2008,4447
7/1/2008,4183
8/1/2008,4239
9/1/2008,4040
10/1/2008,4162
11/1/2008,3688
12/1/2008,3951
1/1/2009,3832
2/1/2009,3753
3/1/2009,3489
4/1/2009,3483
5/1/2009,3541
6/1/2009,3415
7/1/2009,3617
8/1/2009,3466
9/1/2009,3626
10/1/2009,3450
11/1/2009,3718
12/1/2009,3565
1/1/2010,3596
2/1/2010,3510
3/1/2010,3849
4/1/2010,3756
5/1/2010,3646
6/1/2010,3781
7/1/2010,3843
8/1/2010,3656
9/1/2010,3736
10/1/2010,3762
11/1/2010,3804
12/1/2010,3880
1/1/2011,3642
2/1/2011,3840
3/1/2011,4044
4/1/2011,3946
5/1/2011,3869
6/1/2011,4005
7/1/2011,3911
8/1/2011,3927
9/1/2011,4043
10/1/2011,3972
11/1/2011,3976
12/1/2011,3933
1/1/2012,4014
2/1/2012,4128
3/1/2012,4182
4/1/2012,4012
5/1/2012,4160
6/1/2012,4133
7/1/2012,3977
8/1/2012,4145
9/1/2012,3959
10/1/2012,4034
11/1/2012,4114
12/1/2012,4063
1/1/2013,4148
2/1/2013,4193
3/1/2013,4036
4/1/2013,4222
5/1/2013,4287
6/1/2013,4118
7/1/2013,4254
8/1/2013,4421
9/1/2013,4394
10/1/2013,4160
11/1/2013,4298
12/1/2013,4270
1/1/2014,4330
2/1/2014,4364
3/1/2014,4433
4/1/2014,4500
5/1/2014,4483
6/1/2014,4481
7/1/2014,4714
8/1/2014,4526
9/1/2014,4750
10/1/2014,4815
11/1/2014,4740
12/1/2014,4841
1/1/2015,4709
2/1/2015,4699
3/1/2015,4754
4/1/2015,4773
5/1/2015,4787
6/1/2015,4799
7/1/2015,4764
8/1/2015,4732
9/1/2015,4834
10/1/2015,4955
11/1/2015,4977
12/1/2015,5129
1/1/2016,4775
2/1/2016,5125
3/1/2016,4923
4/1/2016,4887
5/1/2016,4849
6/1/2016,4885
7/1/2016,4928
8/1/2016,4936
9/1/2016,4886
10/1/2016,4889
11/1/2016,4943
12/1/2016,5004
1/1/2017,5108
2/1/2017,4917
3/1/2017,4965
4/1/2017,4894
5/1/2017,5146
6/1/2017,5129
7/1/2017,5164
8/1/2017,5169
9/1/2017,5033
10/1/2017,5267
11/1/2017,5151
12/1/2017,5173
1/1/2018,5236
2/1/2018,5178
3/1/2018,5150
4/1/2018,5236
5/1/2018,5404
6/1/2018,5328
7/1/2018,5366
8/1/2018,5551
9/1/2018,5358
10/1/2018,5578
11/1/2018,5342
